Features,Model,RMSE,R²,MAE
"GSA,VF,PLD",XGBoost,2.464634074654274,0.9501190473387529,1.8645253261831447
"GSA,PV,LCD",LinearRegression,3.608823086444695,0.8930548664612209,2.7363147155596215
"GSA,PV,LCD",SGDRegressor,3.6132677977947916,0.892791271955424,2.763100993402807
"GSA,PV,LCD",RandomForest,1.6847066083738635,0.9766934279846928,1.219286641597867
"GSA,PV,LCD",GradientBoost,2.278874263802353,0.9573547593118031,1.7139569292217718
"GSA,PV,LCD",XGBoost,2.671134851036033,0.9414102736194518,2.0232601455243615
"GSA,PV,PLD",LinearRegression,4.048079200064967,0.8654363235816607,3.1456796951814683
"GSA,PV,PLD",SGDRegressor,4.0525669693772555,0.8651377990471949,3.135734586192696
"GSA,PV,PLD",RandomForest,2.061619305557159,0.9650982834465541,1.52017530367694
"GSA,PV,PLD",GradientBoost,2.5374522311702195,0.9471280177925742,1.9165349968414402
"GSA,PV,PLD",XGBoost,2.878819015735381,0.9319452304388852,2.1857736067012574
"GSA,LCD,PLD",LinearRegression,4.256503855784256,0.8512229631905126,3.164235445406113
"GSA,LCD,PLD",SGDRegressor,4.260966482083348,0.8509108364388462,3.126373383166617
"GSA,LCD,PLD",RandomForest,1.8534505012503617,0.9717907313643711,1.3691239774756798
"GSA,LCD,PLD",GradientBoost,2.2054052589481548,0.9600601293486135,1.6531799790122468
"GSA,LCD,PLD",XGBoost,2.5818297527074554,0.9452624890782753,1.9719260733215818
"VSA,VF,PV",LinearRegression,4.364849097288933,0.8435526144592275,3.4309402068855768
"VSA,VF,PV",SGDRegressor,4.3672521133662725,0.8433803065234758,3.4215450727772567
"VSA,VF,PV",RandomForest,1.3670533553154514,0.9846538028687919,0.9302547140279349
"VSA,VF,PV",GradientBoost,1.6428253093071883,0.9778378131419613,1.157576125112562
"VSA,VF,PV",XGBoost,1.6507065995632186,0.9776246613245526,1.1612613939210392
"VSA,VF,LCD",LinearRegression,4.196232733355784,0.855406431246006,3.324721329458452
"VSA,VF,LCD",SGDRegressor,4.19687868706066,0.8553619113414777,3.3341607577309476
"VSA,VF,LCD",RandomForest,1.2964695158967083,0.9861976046969263,0.8887729654451656
"VSA,VF,LCD",GradientBoost,1.5594934805036318,0.980029130701919,1.095548675627581
"VSA,VF,LCD",XGBoost,2.1227464870939894,0.9629979228744396,1.5855393636471429
"VSA,VF,PLD",LinearRegression,4.259880677949658,0.8509868102841964,3.370674779161585
"VSA,VF,PLD",SGDRegressor,4.260369649396925,0.8509525992898725,3.3679180096430876
"VSA,VF,PLD",RandomForest,1.3649066044878564,0.9847019627948304,0.9343176598185671
"VSA,VF,PLD",GradientBoost,1.6210059926922258,0.9784226014619719,1.1374040527847549
"VSA,VF,PLD",XGBoost,1.8048203359557948,0.9732516009353005,1.303031486240441
"VSA,PV,LCD",LinearRegression,5.027865554185987,0.7924144330586231,4.043957120533052
"VSA,PV,LCD",SGDRegressor,5.031784196543044,0.7920907288611765,4.019859414507422
"VSA,PV,LCD",RandomForest,0.9774206174029815,0.9921550020639195,0.6756979805539998
"VSA,PV,LCD",GradientBoost,2.1311433560293835,0.9627046084262091,1.6048197040350254
"VSA,PV,LCD",XGBoost,2.4977693232470033,0.9487688036964704,1.8925241921293543
"VSA,PV,PLD",LinearRegression,5.435506957953379,0.7573892980531817,4.329171349274082
"VSA,PV,PLD",SGDRegressor,5.44456354732112,0.7565801532875678,4.2799787835329095
"VSA,PV,PLD",RandomForest,1.9752184717116386,0.9679623893573115,1.4686949042587985
"VSA,PV,PLD",GradientBoost,2.4458095813806464,0.9508781034287512,1.856179862111992
"VSA,PV,PLD",XGBoost,2.577892040977213,0.9454293290268551,1.9587991345424454
"VSA,LCD,PLD",LinearRegression,4.963740757710378,0.797675709916437,3.9817708791258375
"VSA,LCD,PLD",SGDRegressor,4.964246378506308,0.7976344891582086,3.9925469334873567
"VSA,LCD,PLD",RandomForest,1.8947110267254563,0.9705207922620198,1.4058878193031545
"VSA,LCD,PLD",GradientBoost,2.2740128870793543,0.957536509975497,1.7193874488130019
"VSA,LCD,PLD",XGBoost,2.750621421472234,0.9378714119075271,2.0749878466573946
"VF,PV,LCD",LinearRegression,4.356862732004319,0.8441245943307675,3.3946872232571197
"VF,PV,LCD",SGDRegressor,4.361065357948497,0.8438237347389284,3.380710652984681
"VF,PV,LCD",RandomForest,1.314567788034082,0.9858095615363248,0.9059219291491396
"VF,PV,LCD",GradientBoost,1.5252366255621332,0.9808968804636728,1.0731200358410489
"VF,PV,LCD",XGBoost,2.1008475902085912,0.9637574341980806,1.5783840408136185
"VF,PV,PLD",LinearRegression,4.3451531715008995,0.8449613339053641,3.3913410337936805
"VF,PV,PLD",SGDRegressor,4.357340788357659,0.844090385625655,3.480400417293203
"VF,PV,PLD",RandomForest,1.4630165341764239,0.9824236654279516,1.026391590193322
"VF,PV,PLD",GradientBoost,1.706006010056018,0.9761003821926005,1.2192049137775842
"VF,PV,PLD",XGBoost,2.1749395368859927,0.9611559755715907,1.6277502787950968
"VF,LCD,PLD",LinearRegression,4.346774555715737,0.8448456076529625,3.3867363442207576
"VF,LCD,PLD",SGDRegressor,4.3478424774479,0.8447693611860163,3.3678011089229276
"VF,LCD,PLD",RandomForest,1.5347448292732133,0.9806579634296927,1.08188251385618
"VF,LCD,PLD",GradientBoost,1.5460544612452913,0.980371847709125,1.0647514367057365
"VF,LCD,PLD",XGBoost,2.2101793020615825,0.9598870264320547,1.6505267679070474
"PV,LCD,PLD",LinearRegression,7.688181415417465,0.5146253529942085,6.12401012822417
"PV,LCD,PLD",SGDRegressor,7.730372833233521,0.509283430097292,5.923799218099389
"PV,LCD,PLD",RandomForest,1.8824425478402242,0.9709013190236943,1.3756301294022202
"PV,LCD,PLD",GradientBoost,2.3532660103315424,0.9545250859926895,1.7654322996932368
"PV,LCD,PLD",XGBoost,2.6539637045089863,0.9421611298460162,2.0229764417154166
"Density,GSA,VSA,VF",LinearRegression,3.6732008322671184,0.8892052478144713,2.83814592165998
"Density,GSA,VSA,VF",SGDRegressor,3.6748185946086016,0.889107633196307,2.8540257111177807
"Density,GSA,VSA,VF",RandomForest,1.3208773855391327,0.9856730134920637,0.9153609856980657
"Density,GSA,VSA,VF",GradientBoost,1.6477031217050304,0.9777060115720898,1.1641207483658034
"Density,GSA,VSA,VF",XGBoost,1.7258532082404248,0.9755410645575983,1.207310968790503
"Density,GSA,VSA,PV",LinearRegression,4.18160967796573,0.8564124362809846,3.277727287608842
"Density,GSA,VSA,PV",SGDRegressor,4.182755157332048,0.8563337588663421,3.2756804557853614
"Density,GSA,VSA,PV",RandomForest,1.2522995752720925,0.9871220626214765,0.8833516389167677
"Density,GSA,VSA,PV",GradientBoost,1.6814711272213068,0.9767828626240027,1.2604308909636222
"Density,GSA,VSA,PV",XGBoost,1.739808421782926,0.975143916459697,1.3056786422545736
"Density,GSA,VSA,LCD",LinearRegression,3.973594192082378,0.8703427318821454,3.0458023921057618
"Density,GSA,VSA,LCD",SGDRegressor,3.9741396351460048,0.8703071341296178,3.057157388168713
