Features,Model,RMSE,R²,MAE
"GSA,VSA,PLD",XGBoost,3.0143397028748757,0.925387046770607,2.298752603925168
"GSA,VF,PV",LinearRegression,3.607572560251728,0.893128970686429,2.8347011177401624
"GSA,VF,PV",SGDRegressor,3.608201454454671,0.8930917066104029,2.8434850433026457
"GSA,VF,PV",RandomForest,1.2415642069642507,0.9873419091028789,0.8430153614808841
"GSA,VF,PV",GradientBoost,1.6667141856850047,0.9771885912834604,1.172084143202818
"GSA,VF,PV",XGBoost,1.694152262179828,0.9764313491682072,1.1901864708542529
"GSA,VF,LCD",LinearRegression,3.644899346173583,0.8909059858847408,2.784051971493378
"GSA,VF,LCD",SGDRegressor,3.6527187116423043,0.8904374072486099,2.839279725472937
"GSA,VF,LCD",RandomForest,1.1069710027482926,0.9899375825251989,0.74923423397005
"GSA,VF,LCD",GradientBoost,1.5252017590729448,0.9808977538377928,1.0720118044780422
"GSA,VF,LCD",XGBoost,2.273026655304186,0.9575733345353116,1.72201683354585
"GSA,VF,PLD",LinearRegression,3.6839781121860313,0.8885541438726904,2.8478750891991544
"GSA,VF,PLD",SGDRegressor,3.685109404855346,0.8884856867676233,2.8551236019523585
"GSA,VF,PLD",RandomForest,1.2558190953754236,0.9870495754132451,0.8720100655888915
"GSA,VF,PLD",GradientBoost,1.667786814566198,0.9771592208618519,1.1821802524965577
"GSA,VF,PLD",XGBoost,2.464634074654274,0.9501190473387529,1.8645253261831447
"GSA,PV,LCD",LinearRegression,3.608823086444695,0.8930548664612209,2.7363147155596215
"GSA,PV,LCD",SGDRegressor,3.6099874254883506,0.8929858464627591,2.7262786925640095
"GSA,PV,LCD",RandomForest,1.6855707106173663,0.9766695135228189,1.2203397771591271
"GSA,PV,LCD",GradientBoost,2.278874263802353,0.9573547593118031,1.7139569292217718
"GSA,PV,LCD",XGBoost,2.671134851036033,0.9414102736194518,2.0232601455243615
"GSA,PV,PLD",LinearRegression,4.048079200064967,0.8654363235816607,3.1456796951814683
"GSA,PV,PLD",SGDRegressor,4.0488778202562274,0.865383223894495,3.1550421639115727
"GSA,PV,PLD",RandomForest,2.0625821052176376,0.9650656768374357,1.5211744373151246
"GSA,PV,PLD",GradientBoost,2.5374522311702195,0.9471280177925742,1.9165349968414396
"GSA,PV,PLD",XGBoost,2.878819015735381,0.9319452304388852,2.1857736067012574
"GSA,LCD,PLD",LinearRegression,4.256503855784256,0.8512229631905126,3.164235445406113
"GSA,LCD,PLD",SGDRegressor,4.264812485873549,0.8506415753364353,3.227945031710283
"GSA,LCD,PLD",RandomForest,1.85432903238483,0.9717639827738523,1.369464843176443
"GSA,LCD,PLD",GradientBoost,2.2049105256495434,0.9600780465704603,1.6540746588134225
"GSA,LCD,PLD",XGBoost,2.5818297527074554,0.9452624890782753,1.9719260733215818
"VSA,VF,PV",LinearRegression,4.364849097288933,0.8435526144592275,3.4309402068855768
"VSA,VF,PV",SGDRegressor,4.371322697835689,0.843088209438942,3.4790070096855126
"VSA,VF,PV",RandomForest,1.3662172116894455,0.9846725698038226,0.9304230174794547
"VSA,VF,PV",GradientBoost,1.6419787396207124,0.9778606481949182,1.1574914761567852
"VSA,VF,PV",XGBoost,1.6507065995632186,0.9776246613245526,1.1612613939210392
"VSA,VF,LCD",LinearRegression,4.196232733355784,0.855406431246006,3.324721329458452
"VSA,VF,LCD",SGDRegressor,4.1999903140828465,0.855147358260905,3.2906235539730724
"VSA,VF,LCD",RandomForest,1.2966324099966633,0.9861941360924161,0.8887810116647288
"VSA,VF,LCD",GradientBoost,1.5595805041152884,0.9800269017914599,1.0958866262543052
"VSA,VF,LCD",XGBoost,2.1227464870939894,0.9629979228744396,1.5855393636471429
"VSA,VF,PLD",LinearRegression,4.259880677949658,0.8509868102841964,3.370674779161585
"VSA,VF,PLD",SGDRegressor,4.261373878272781,0.8508823258833138,3.354545936945085
"VSA,VF,PLD",RandomForest,1.3633871642485982,0.9847360039741301,0.9328203047415482
"VSA,VF,PLD",GradientBoost,1.624186543184231,0.9783378450418058,1.1399555773769152
