Features,Model,MSE,R²
"Density,GSA,PV",SK_GB,0.05270934386857727,0.9959270448651021
"Density,GSA,PV",SK_LR,0.699060625870533,0.9459822043536822
"Density,GSA,LCD",SK_RF,0.13672478105296346,0.9894350060504276
"Density,GSA,LCD",XG_RF,0.28780965913572204,0.9777603790331211
"Density,GSA,LCD",SK_GB,0.12309266577339625,0.9904883865300986
"Density,GSA,LCD",SK_LR,1.4690893938416238,0.8864805601604477
"Density,GSA,PLD",SK_RF,0.17191777595368904,0.986715573806104
"Density,GSA,PLD",XG_RF,0.31089065960300855,0.9759768645274917
"Density,GSA,PLD",SK_GB,0.16031452181619424,0.9876121801770479
"Density,GSA,PLD",SK_LR,2.0934894451618926,0.8382319346113166
"Density,VSA,VF",SK_RF,0.06520729539602865,0.9949613034592452
"Density,VSA,VF",XG_RF,0.15004571378741155,0.9884056712607994
"Density,VSA,VF",SK_GB,0.05666680429918769,0.9956212440791504
"Density,VSA,VF",SK_LR,3.858822270803282,0.7018211795291187
"Density,VSA,PV",SK_RF,0.056043913638936405,0.9956693760710696
"Density,VSA,PV",XG_RF,0.22606456492270396,0.9825315444484354
"Density,VSA,PV",SK_GB,0.05378550900735733,0.9958438874587242
"Density,VSA,PV",SK_LR,1.078892919021734,0.9166318126537301
"Density,VSA,LCD",SK_RF,0.1377805735463222,0.9893534228786102
"Density,VSA,LCD",XG_RF,0.2800293296372835,0.9783615804645195
"Density,VSA,LCD",SK_GB,0.12380653805121772,0.9904332242088437
"Density,VSA,LCD",SK_LR,2.8630442525381326,0.7787669142896172
"Density,VSA,PLD",SK_RF,0.1710454472379912,0.986782980369365
"Density,VSA,PLD",XG_RF,0.2939807335546855,0.9772835279210066
"Density,VSA,PLD",SK_GB,0.15898372672525754,0.9877150133428835
"Density,VSA,PLD",SK_LR,2.889480976844702,0.7767240963732569
"Density,VF,PV",SK_RF,0.06281808730979745,0.9951459222882599
"Density,VF,PV",XG_RF,0.11851976135353415,0.9908417438889896
"Density,VF,PV",SK_GB,0.06231866658986212,0.9951845135139601
"Density,VF,PV",SK_LR,0.9259101355933173,0.9284530945666547
"Density,VF,LCD",SK_RF,0.054010563019117476,0.995826497090612
"Density,VF,LCD",XG_RF,0.11847414930622842,0.9908452684219975
"Density,VF,LCD",SK_GB,0.0497778608710948,0.996153566347844
"Density,VF,LCD",SK_LR,2.808432126655542,0.7829869011499315
"Density,VF,PLD",SK_RF,0.06594623206027458,0.9949042043633333
"Density,VF,PLD",XG_RF,0.1258647067016308,0.9902741854510462
"Density,VF,PLD",SK_GB,0.05983640469458995,0.9953763227946394
"Density,VF,PLD",SK_LR,3.020541615606774,0.7665967818887524
"Density,PV,LCD",SK_RF,0.047948083410487806,0.9962949568671888
"Density,PV,LCD",XG_RF,0.24915936695247323,0.9807469634688062
"Density,PV,LCD",SK_GB,0.0492920320733057,0.9961911072988673
"Density,PV,LCD",SK_LR,0.9154085155786829,0.9292645754925034
"Density,PV,PLD",SK_RF,0.05759308319647072,0.9955496686787728
"Density,PV,PLD",XG_RF,0.24940027968379225,0.9807283476661026
